ID_Jugador;Nombre;Apellidos;Nacionalidad;Fecha_Nacimiento
252535;Maria;Kalyakina;RUS;20060502
232872;Alexandra;Azarko;BLR;20060501
249669;Viktoria;Varga;HUN;20060501
258528;Mona;Elkholy;EGY;20060430
236967;Carla;Markus;ARG;20060428
252600;Asli;Oktay;TUR;20060428
241747;Sveva Maria;Ricci;ITA;20060426
233728;Marilouise;Van Zyl;RSA;20060425
239492;Mayssa;Ben Dhiab;TUN;20060423
249670;Constanza;Pinochet Tapia;MEX;20060422
256694;Lojaine;Elkady;EGY;20060420
259105;Marta;Soriano Santiago;ESP;20060420
232870;Ademi;Amankeldi;KAZ;20060419
252576;Georgia Elizabeth;Okropiridze;LAT;20060419
234490;Thessy;Ntondele Zinga;FRA;20060418
256712;Arina;Bulatova;RUS;20060418
233741;Maya;Joint;USA;20060416
239186;Lexington;Reed;USA;20060413
252496;Maria Cristina;Purizaca;PER;20060413
238206;Evelina;Takhmazyan;RUS;20060412
239478;Lucie;Pawlak;FRA;20060412
231626;Layla;Shoukry;EGY;20060411
223432;Maria;Pinto;PUR;20060410
258526;Hagar;Elsheiwi;EGY;20060405
239175;Debora;Samanovica;LVA;20060402
240165;Elisa Cesarina;Vincenti;ITA;20060326
230130;Hiba;Heni;TUN;20060315
223364;Hatshepsut;Assanova;KAZ;20060314
231625;Noemi;Basiletti;ITA;20060311
231637;Vasilisa;Borisova;RUS;20060310
223379;Elena;Rey;ESP;20060309
254759;Bella;Bergkvist Larsson;SWE;20060309
239117;Ana;Martinez Vaquero;ESP;20060307
252481;Mariana;Gomes Sorrilha;BRA;20060306
239388;Patricija;Cechanaviciute;LTU;20060305
254753;Maria Vittoria;Caligiore;ITA;20060304
239398;Anastasija;Ignjatic;BIH;20060302
255661;Joulia Cristiana;Cirstea;ROU;20060302
237465;Asylzhan;Arystanbekova;KAZ;20060301
246517;Elisa;Bourdeilletas;FRA;20060301
256715;Anastasia;Yashchenko;RUS;20060226
223360;Nikola;Bartunkova;CZE;20060225
232888;Yuliya;Klimova;KAZ;20060225
241003;Joody;Elkady;EGY;20060225
223682;Hannah;Read;GBR;20060222
256699;Daria;Domova;RUS;20060220
223291;Paola;Ueno Dalmonico;BRA;20060219
259109;Ira;Shah;IND;20060217
223026;Justmin;Da Costa;INA;20060216
