ID_Jugador,Nombre,Apellidos,Sexo,Nacionalidad,Fecha_nacimiento
117823,Santiago,Sahagun,H,MEX,1980-02-15
103510,Rob,Steckley,H,CAN,1980-02-16
111268,Jonathan,Arpin,H,CAN,1980-02-16
117637,Bjorn,Behles,H,GER,1980-02-16
118793,Eric,Gildhorn,H,ARU,1980-02-16
137725,Pedro,Saviron,H,ESP,1980-02-16
190039,Kj,Weiss,H,USA,1980-02-16
203159,Fabrizio,Nicco,H,ITA,1980-02-16
205002,Eduard,Anghelache,H,ROU,1980-02-16
103511,Jose Ezequiel,Lido,H,ESP,1980-02-18
122972,Martin,Oonk,H,NED,1980-02-18
129434,Timour,Dick,H,GER,1980-02-18
140869,Markus,Kilkki,H,FIN,1980-02-18
103512,Ivan,Cinkus,H,CRO,1980-02-19
117440,Jair,Montovani,H,BRA,1980-02-19
118429,Martin Ernesto,Vercesi,H,ARG,1980-02-20
123323,Ashley,Fickel,H,USA,1980-02-20
141274,Jose Tomas,Valverde Bergel,H,ESP,1980-02-20
109506,Christian,Voss,H,GER,1980-02-21
118102,Aleksandar,Tunjic,H,GER,1980-02-21
128466,Fredrik,Hoglund,H,SWE,1980-02-21
108606,Gert,Vilms,H,EST,1980-02-22
125290,David,Terol Soames,H,ESP,1980-02-22
132290,Matteo,Aprile,H,ITA,1980-02-22
103513,Glenn,Knox,H,AUS,1980-02-23
103514,Young Jun,Kim,H,KOR,1980-02-23
111260,Derek,Burden,H,AUS,1980-02-23
117612,Gael,Demenet,H,FRA,1980-02-23
118659,Laurent,Huet,H,FRA,1980-02-23
119509,Mensan Kossi,Akli,H,TOG,1980-02-23
127456,Morris,Maracci,H,ITA,1980-02-23
131839,Christe,Shaya,H,USA,1980-02-23
108846,Syed,Nasir Sherazi,H,PAK,1980-02-24
108968,Jason,Sankey,H,HKG,1980-02-24
139159,Sangram,Chaphekar,H,IND,1980-02-24
203489,Sergio,Toral Hernandez,H,ESP,1980-02-24
103515,Filip,Aniola,H,POL,1980-02-25
108879,Lawrence,Tere,H,PNG,1980-02-25
109412,Dimo,Tolev,H,BUL,1980-02-25
117566,Tuomas,Niskakangas,H,FIN,1980-02-25
110625,Jamie,Gresh,H,USA,1980-02-26
118608,Joo Hwan,Lee,H,KOR,1980-02-26
119725,So,Kusakabe,H,JPN,1980-02-26
103516,Nathan,Healey,H,AUS,1980-02-27
111266,Foivos,Michalopoulos,H,GRE,1980-02-27
117500,Alex,Halsey,H,GBR,1980-02-27
128775,Eric,Cohn,H,USA,1980-02-27
103517,Andreas,Maroldt,H,GER,1980-02-28
103518,Cyril,Martin,H,FRA,1980-02-28
103519,Krzysztof,Kwinta,H,POL,1980-02-28
103520,Pavel,Snobel,H,CZE,1980-02-28
109237,Eduard,Koifman,H,KGZ,1980-02-28
111272,Fredric,Helmfrid,H,SWE,1980-02-28
117792,Dong Wook,Kim,H,KOR,1980-02-28
118017,Rafael,Reyes,H,ECU,1980-02-28
121342,Alexander,Hillbricht,H,GER,1980-02-28
140774,Paul,Johnson,H,USA,1980-02-28
142879,Fabio,Celestini,H,ITA,1980-02-28
144021,Atsushi,Deguchi,H,JPN,1980-02-28
103521,Andrea,Stoppini,H,ITA,1980-02-29
103522,Nahuel,Fracassi,H,ITA,1980-02-29
119596,Paul,Goode,H,USA,1980-02-29
118367,Martin,Wetzel,H,GER,1980-03-01
144197,Andrew,Laflin,H,USA,1980-03-01
203108,Kang Meng,Jin,H,CHN,1980-03-01
103523,Rohan,Bopanna,H,IND,1980-03-04
124825,Vasily,Fomenko,H,BLR,1980-03-04
109048,Trant,Krepelka,H,GER,1980-03-05
118025,Frantisek,Krepelka,H,SVK,1980-03-05
118392,Danny,Westerman,H,USA,1980-03-05
140956,Mojmir,Mamojka,H,SVK,1980-03-05
103524,Diego,Alvarez,H,ARG,1980-03-06
111533,El Mehdi,Belbacha Jawhari,H,MAR,1980-03-06
128173,Jackson,Farinango,H,ECU,1980-03-06
141270,Michael,Viaux,H,FRA,1980-03-06
141846,Raul,Arjona Baltanas,H,ESP,1980-03-06
144161,Luis Omar,Flores Plata,H,MEX,1980-03-06
117876,Bartosz,Dabrowski,H,POL,1980-03-07
117929,Maxsim,Fomine,H,CAN,1980-03-07
119368,Baqer,Abu Khulaif,H,KSA,1980-03-07
128255,William,Wright,H,GBR,1980-03-07
140979,Nenad,Crnogorac,H,YUG,1980-03-07
141702,Milan,Djeric,H,YUG,1980-03-07
103525,Ivan,Miranda,H,PER,1980-03-08
108808,Eugenius,Cariovas,H,LTU,1980-03-09
128890,Christian,Glaser,H,GER,1980-03-09
131508,Andres,Azubel,H,PAR,1980-03-09
140181,Jean Philippe,Cloutier,H,CAN,1980-03-09
103526,Diego,Zorzi,H,ARG,1980-03-10
103527,Julien,Jeanpierre,H,FRA,1980-03-10
111274,Quichee,Wong,H,NZL,1980-03-10
117679,Sonny,Van Der Velden,H,BEL,1980-03-10
118088,Ulugbek,Musaev,H,UZB,1980-03-10
118092,Hong Anh,Dang,H,VIE,1980-03-10
130969,Mirshod,Habibov,H,UZB,1980-03-10
142418,Dong Il,Seo,H,KOR,1980-03-10
119378,Marcus,Berntson,H,SWE,1980-03-11
103528,Julian,Gast,H,GER,1980-03-12
124324,Christoph,Handl,H,AUT,1980-03-12
128510,Shahvaiz,Hanif,H,USA,1980-03-12
131315,Shinnosuke,Kato,H,JPN,1980-03-12
140045,Juraj,Michalko,H,SVK,1980-03-12
141477,Christian,Klam,H,GER,1980-03-12
118611,Jeong Mo,Tak,H,KOR,1980-03-13
140427,Luca,Leipnecher,H,ITA,1980-03-13
140644,Marin,Radovanovich,H,NZL,1980-03-13
128696,Steve,Pourciel,H,CAN,1980-03-14
131863,Gerit,Strehl,H,GER,1980-03-14
140652,Alexandru,Pop Moldovan,H,ROU,1980-03-14
123675,Koen,Van Der Meer,H,NED,1980-03-15
137609,Jose Antonio,Cerrillo,H,MEX,1980-03-15
139863,Timo,Fest,H,GER,1980-03-16
140126,Ali,Zaver,H,CAN,1980-03-16
141514,Gregory,Jullien,H,FRA,1980-03-16
142507,Sebastian,Camara,H,VEN,1980-03-16
103529,Aisam Ul Haq,Qureshi,H,PAK,1980-03-17
103530,Zack,Fleishman,H,USA,1980-03-17
139128,Anatole,Vincent,H,FRA,1980-03-17
117433,Hector,Silva,H,BRA,1980-03-18
118181,Jerome,Almagrida,H,FRA,1980-03-18
141776,Jonas,Fransson,H,SWE,1980-03-18
130091,Mykhailo,Shypunov,H,UKR,1980-03-19
140296,Alexis,Rafidison,H,MAD,1980-03-19
140719,Uwe,Gneiting,H,GER,1980-03-19
140322,Divan,Coetzee,H,RSA,1980-03-20
141781,Andrew,Hill,H,GBR,1980-03-20
142984,Joseph,Wright,H,USA,1980-03-20
119677,Luka,Culic,H,BIH,1980-03-21
127685,Jeff,Scarella,H,USA,1980-03-21
128085,Patrick,Elgrably,H,BRA,1980-03-21
103531,Thomas,Oger,H,MON,1980-03-22
117642,Wim,Fissette,H,BEL,1980-03-22
118685,Markus,Hornung,H,GER,1980-03-22
140441,Torben,Oeder,H,GER,1980-03-22
103532,Ignacio,Gonzalez King,H,ARG,1980-03-23
103533,Simon,Wernhart,H,AUT,1980-03-23
108991,Sergei,Petrouchevsky,H,RUS,1980-03-23
109220,Lukasz,Senczyszyn,H,POL,1980-03-23
129291,Ben,Fromm,H,GER,1980-03-23
123694,Pedro,Duarte,H,POR,1980-03-24
135093,Gilles,Monier Vinard,H,FRA,1980-03-24
205136,Samuel,Coelho,H,BRA,1980-03-24
103534,Nicolas,Devilder,H,FRA,1980-03-25
103535,Olivier,Patience,H,FRA,1980-03-25
109539,Anthony,Azcoaga,H,FRA,1980-03-25
139818,Marcos,Fernandez,H,ARG,1980-03-25
143227,Oliver,Markus,H,GER,1980-03-25
140002,Ashtok,Raju,H,USA,1980-03-26
140113,Peter,Gardonyi,H,CAN,1980-03-26
204036,Marco,Doering,H,GER,1980-03-26
103536,Daniel,Kiernan,H,GBR,1980-03-27
124794,Ricardo,Cortes,H,POR,1980-03-27
131526,Camilo,Ramirez,H,ECU,1980-03-27
140257,Jamie,Sahara,H,USA,1980-03-27
143152,Jeremy,Earl,H,USA,1980-03-27
144556,John,Kowalski,H,USA,1980-03-27
103537,Andreas,Kauntz,H,GER,1980-03-28
123176,Eyal,Yurkoni,H,ISR,1980-03-28
130732,Sandeep,Reddy,H,IND,1980-03-28
133976,Tino,Wengel,H,GER,1980-03-28
128315,Sylvain,Iff,H,SUI,1980-03-29
143050,Lance,Teh,H,AUS,1980-03-29
139413,Pablo,Lozano Beamund,H,ESP,1980-03-30
204083,Pedro,Lozano Beamund,H,ESP,1980-03-30
117892,Ivan,Iliachenko,H,RUS,1980-03-31
118411,Oliver,Foreman,H,GBR,1980-03-31
120961,David,Vukasinec,H,AUS,1980-03-31
204221,Bogdan,Bot,H,ROU,1980-03-31
103538,James,Auckland,H,GBR,1980-04-01
109139,Matt,Lautenschlager,H,GER,1980-04-01
111538,Jiri,Vrbka,H,CZE,1980-04-01
118156,Igor,Ogrinc,H,SLO,1980-04-01
129991,Claudiney,Nascimento,H,BRA,1980-04-01
131027,Jose Roberto,Bravo,H,MEX,1980-04-01
103539,Alexander,Hartman,H,SWE,1980-04-02
109523,Manuel,Lievano,H,COL,1980-04-02
140812,Ryan,Richert,H,USA,1980-04-02
103540,Johan,Brunstrom,H,SWE,1980-04-03
103541,Kevin,Harris,H,USA,1980-04-03
141469,Aayush,Lohia,H,IND,1980-04-03
203562,Panagiotis,Serbezis,H,GRE,1980-04-03
123713,Christian,Merlato,H,ITA,1980-04-04
140161,Alexander,Pruhs,H,GER,1980-04-04
103542,Carl,Hagman,H,DEN,1980-04-05
119487,Alexander,Tisch,H,AUT,1980-04-05
140114,Sebastian,Szopa,H,CAN,1980-04-05
141834,Cristiano,Lozupone,H,ITA,1980-04-05
129625,Kaja,Kropacek,H,CZE,1980-04-06
142649,Romauld,Lopez,H,FRA,1980-04-06
134479,David,Goncalves,H,FRA,1980-04-07
103543,David,Marrero,H,ESP,1980-04-08
122800,Andre Eduardo,Boz,H,BRA,1980-04-08
131326,Harald,Schimpl,H,AUT,1980-04-08
131748,Paulo,Roggio,H,ITA,1980-04-08
135954,Steffen,Gieraths,H,GER,1980-04-08
142194,Gibson,Phiri,H,ZAM,1980-04-08
108956,Jesus Francisco,Felix,H,DOM,1980-04-09
111275,Chris,Novic,H,AUS,1980-04-09
125467,Pawel,Wykrzykowski,H,POL,1980-04-09
142064,Tuukka,Mytty,H,FIN,1980-04-09
103544,Andy,Ram,H,ISR,1980-04-10
117734,Barry,Scollo,H,GBR,1980-04-10
128148,Sloan,Rush,H,USA,1980-04-10
134783,Hajime,Suzuki,H,JPN,1980-04-10
140720,Michael,Hailey,H,USA,1980-04-10
103545,Philipp,Mullner,H,AUT,1980-04-11
109665,Daniel,Forster,H,GER,1980-04-11
124801,Jorge,Humberto,H,POR,1980-04-11
139256,Victor,Garcia Vives,H,ESP,1980-04-11
203201,Andrei,Cheremeta,H,RUS,1980-04-11
103546,Patricio,Arquez,H,ARG,1980-04-12
117941,Federico,Pintaluba,H,URU,1980-04-13
118077,Nick,Fustar,H,USA,1980-04-13
139271,Eric,Reblin,H,USA,1980-04-14
111474,Philip,Langer,H,AUT,1980-04-15
140213,Federico,Mattioli,H,ARG,1980-04-15
143224,Marcus,Stridh,H,SWE,1980-04-15
103547,Anton,Kokurin,H,UZB,1980-04-16
111600,Daniel,Belcher,H,GBR,1980-04-16
128169,Krzysztof,Szymura,H,POL,1980-04-16
139993,Mert,Dogan,H,TUR,1980-04-16
141392,Enrique,Fernandez De La Puebla,H,ESP,1980-04-16
204379,Gabriel,Coren,H,USA,1980-04-16
103548,Eduardo,Bergmann,H,BRA,1980-04-17
139626,Airan,Kiebel,H,ESP,1980-04-17
139704,Chien Chia,Peng,H,TPE,1980-04-17
140202,Jesse,Samuellian,H,FRA,1980-04-17
143791,Luis Enrique,Rodriguez,H,MEX,1980-04-17
103549,Dario,Perez,H,ARG,1980-04-18
103550,Michal,Varsanyi,H,SVK,1980-04-18
109381,Stefan,Imielski,H,GER,1980-04-18
111273,Shannon,Bluhm,H,AUS,1980-04-18
130954,Tomas,Vancura,H,GER,1980-04-18
118379,Roland,Stopponi,H,SUI,1980-04-19
118889,Jacobo,Martinez,H,MEX,1980-04-19
124417,Mohamed,Moussa,H,EGY,1980-04-19
132188,Ernesto Leon,Maya Serna,H,MEX,1980-04-19
142881,Massimo,Di Benedetto,H,ITA,1980-04-19
143625,Alberto,Dominguez Munaiz,H,ESP,1980-04-19
125444,Mirko,Mamic,H,CRO,1980-04-20
139769,Godwin,Coleman,H,GHA,1980-04-20
141545,Ryan,Edlefsen,H,USA,1980-04-20
205363,Andre,Alexandrino,H,POR,1980-04-20
118665,Dino,Callone,H,ARG,1980-04-21
125434,Oren,Ben Zakein,H,ISR,1980-04-21
141075,Jan,Solcani,H,SVK,1980-04-21
204134,Karl Johan,Moritz,H,SWE,1980-04-21
103551,Willem Petrus,Meyer,H,RSA,1980-04-22
117885,Florin,Nedelcu,H,ROU,1980-04-22
118349,Thomas,Creuzet,H,FRA,1980-04-22
135615,Lee,De Waal,H,RSA,1980-04-23
205410,Andy,Bregeot,H,FRA,1980-04-23
103552,Carlos,Gonzalez Leiva,H,CHI,1980-04-24
111473,Jacques,Gley,H,FRA,1980-04-24
124837,Michele,Quaglia,H,ITA,1980-04-24
203191,Jorgen,Arnesen,H,NOR,1980-04-24
109112,Florian,Grewe,H,GER,1980-04-25
117763,Yorihide,Nakaegawa,H,JPN,1980-04-25
144181,Joel,Berman,H,USA,1980-04-25
144621,Christoffer,Clemmensen,H,DEN,1980-04-25
103553,Alun,Jones,H,AUS,1980-04-26
109667,Juan Carlos,Baca,H,MEX,1980-04-26
111686,Antonio,Sierra,H,MEX,1980-04-26
120213,Eleazar,Magallan,H,MEX,1980-04-26
140150,Ghislain,Brechbuhl,H,FRA,1980-04-26
108642,Hayk,Hakobyan,H,ARM,1980-04-27
108920,Federico,Rodriguez,H,DOM,1980-04-27
142236,Ondrej,Spacek,H,CZE,1980-04-27
103554,Keith,From,H,USA,1980-04-28
117665,Steven,Willekes,H,NED,1980-04-28
117811,Rodrigo,Laub,H,BRA,1980-04-28
118643,Udayakumar Reddy,Vakati,H,IND,1980-04-28
119102,Julien,Gillet,H,FRA,1980-04-28
123265,Tim,Schouten,H,NED,1980-04-28
128500,Fabricio,Correa,H,BRA,1980-04-28
118261,Daniel,Tegg,H,GBR,1980-04-29
130673,Miljan,Djokic,H,YUG,1980-04-29
139257,Sandro,Spotti,H,BRA,1980-04-29
139978,Miha,Lisac,H,SLO,1980-04-29
117405,Alexei,Tioubaev,H,RUS,1980-04-30
142956,Yasu,Minoda,H,JPN,1980-04-30
